species,long,lat
cheer,83.081380,28.501430
cheer,83.077660,28.498240
cheer,83.055350,28.499980
cheer,83.086510,28.406430
cheer,83.487360,28.445410
cheer,83.154130,28.497510
cheer,83.270450,28.455000
cheer,83.184010,28.430160
cheer,83.086510,28.406430
cheer,83.020790,28.419810
cheer,83.055350,28.499980
cheer,83.249917,28.256694
cheer,82.119167,29.511111
cheer,82.144444,29.508889
cheer,82.118889,29.510556
cheer,82.130556,29.513889
cheer,82.064722,29.536389
cheer,82.042500,29.531389
cheer,83.585972,28.682417
cheer,83.622083,28.700778
cheer,83.611056,28.658111
cheer,83.655056,28.621944
cheer,83.664778,28.625028
cheer,83.661028,28.622639
cheer,83.629472,28.618778
cheer,83.079167,28.496111
cheer,83.021667,28.501667
cheer,83.117500,28.358333
cheer,83.333333,28.500000
cheer,83.100830,28.497830
cheer,83.091250,28.493000
cheer,83.079270,28.496110
cheer,83.064500,28.495660
cheer,83.039100,28.483550
cheer,83.043630,28.497690
cheer,83.027000,28.495880
cheer,83.021610,28.501470
cheer,83.035860,28.500450
cheer,83.003050,28.500450
cheer,82.999860,28.508300
cheer,82.945160,28.511860
cheer,82.973300,28.516190
cheer,83.010250,28.509080
cheer,83.120000,28.430000
cheer,83.108528,28.423653
cheer,83.115108,28.443742
